accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.7046874761581421,0.6500418186187744,0.7046874761581421,0.7046874761581421,0.7875000238418579,0.4885144829750061,0.7875000238418579,0.7875000238418579,0.0010000000474974513
0.796875,0.42060598731040955,0.796875,0.796875,0.8374999761581421,0.40895992517471313,0.8374999761581421,0.8374999761581421,0.0010000000474974513
0.828125,0.3872043490409851,0.828125,0.828125,0.8062499761581421,0.4066196084022522,0.8062499761581421,0.8062499761581421,0.0010000000474974513
0.8734375238418579,0.32137471437454224,0.8734375238418579,0.8734375238418579,0.8187500238418579,0.4205179214477539,0.8187500238418579,0.8187500238418579,0.0010000000474974513
0.8453124761581421,0.33059290051460266,0.8453124761581421,0.8453124761581421,0.7875000238418579,0.40784913301467896,0.7875000238418579,0.7875000238418579,0.0010000000474974513
0.8578125238418579,0.32448235154151917,0.8578125238418579,0.8578125238418579,0.7875000238418579,0.531335711479187,0.7875000238418579,0.7875000238418579,0.0010000000474974513
0.864062488079071,0.2834034264087677,0.864062488079071,0.864062488079071,0.824999988079071,0.395794540643692,0.824999988079071,0.824999988079071,0.0005000000237487257
0.893750011920929,0.25004374980926514,0.893750011920929,0.893750011920929,0.8187500238418579,0.41321834921836853,0.8187500238418579,0.8187500238418579,0.0005000000237487257
0.9140625,0.23394040763378143,0.9140625,0.9140625,0.824999988079071,0.4092797338962555,0.824999988079071,0.824999988079071,0.0005000000237487257
0.917187511920929,0.2200876921415329,0.917187511920929,0.917187511920929,0.8374999761581421,0.41329246759414673,0.8374999761581421,0.8374999761581421,0.0005000000237487257
